userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,review_img,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
nammong,2022.03.14,2321774,1,0, 176cm, 76kg,L,['평소 오버핏을 선호하는 편이라 상당히 좋았습니다'],,2,2,2,2,0,1,0,0
날아라숏,2022.03.13,2321774,1,0, 174cm, 77kg,L,"['대만족합니다.', <br/>, '더워질 때 까지 계속 입을 수 있을 것 같아요.']",,1,2,2,2,0,1,0,0
03박승진,2022.03.12,2321774,1,0, 183cm, 67kg,L,"['정말로 딱 좋네요 너무 마음에 들고', <br/>, '사이즈도 적당하고 걸쳐입어도 좋아요']",,2,2,2,2,0,2,0,0
두식킴,2022.03.05,2321774,1,0, 176cm, 73kg,L,['다른 후기들 보면 생각보다 다들 두껍다고하시는데 그리막 두껍진않고 딱 적당한 정도..?입니다'],,2,2,2,2,0,2,0,0
샤샥삭,2022.03.02,2321774,1,0, 169cm, 73kg,M,['와이드 팬츠가 원래 있어서 같이 입으려고 구매했습니다~ 편하게 입기 좋네요'],,2,2,2,2,0,2,0,0
이상혁옷사기,2022.02.28,2321774,1,0, 172cm, 62kg,M,['좋긴합니다 잘입겠습니다 안에 검은색 이너가 잘어울리넹ㅎ'],,2,2,2,2,0,2,0,0
빈마루,2022.02.24,2321774,1,0, 171cm, 68kg,M,['옷이생각보다  많이크네요 오버핏 좋아하시는 분들은 좋아하실듯'],,1,2,2,2,0,2,0,0
뉴비_8d7911cc,2022.02.22,2321774,1,0, 182cm, 85kg,L,"['팔이 살짝 짧은 느낌은 있지만', <br/>, '사이즈 적당하고 예쁩니다']",,2,3,2,3,0,2,0,0
Parakho,2022.02.19,2321774,1,0, 179cm, 84kg,L,['팔이 약간 짧은거빼곤 두께도 있고 디자인도 이쁩니다. 할인할때 잘 산거같네요'],,2,2,2,1,0,2,0,0
꽁기깅강꽁기깅깅강꽁기깅강공,2022.02.17,2321774,1,0, 174cm, 67kg,M,['무난하게 입기 괜찮은 오버핏 가디건입니다. 무심하게 툭 걸쳐 입는 느낌?'],,2,2,2,2,0,2,0,0
김영목9,2022.02.16,2321774,1,0, 173cm, 72kg,L,['처음으로 입어보는 카디건인데 사이즈는 조금 크지만 괜찮아요. 핏도 예쁘고 두껍고 재질도 좋고 잘 샀다는 생각 들어요:)'],,1,2,1,1,0,1,0,0
샤샥삭,2022.03.02,2321774,1,0, 169cm, 73kg,M,['와이드 팬츠가 원래 있어서 같이 입으려고 구매했습니다~ 편하게 입기 좋네요'],https://image.msscdn.net/data/estimate/2321774_0/gallery_621e0c5520b5b.jpg.view,2,2,2,2,0,2,0,0
꽁기깅강꽁기깅깅강꽁기깅강공,2022.02.17,2321774,1,0, 174cm, 67kg,M,['옷 생긴게 이뻐요 무난하게 걸치고 다닐것 같아요'],https://image.msscdn.net/data/estimate/2321774_0/gallery_620cedb25ef80.jpg.view,2,2,2,2,0,2,0,0
용개핏,2022.01.14,1618241,1,0, 181cm, 74kg,L,['팔통이크고 안에 후드 얇은후리스 맨투맨 추첨해요'],https://image.msscdn.net/data/estimate/1618241_0/gallery_61e0f0a73e1d5.jpg.view,2,2,2,2,0,0,0,0
교회슷님,2022.01.29,1618241,0,1, 155cm, 35kg,M,['너무 예뻐요 핏도 완전 아방하구 소매부분이 좀 크긴하지만 그래도 마음에 들어요ㅠ'],,1,2,1,1,0,0,0,0
용개핏,2022.01.14,1618241,1,0, 181cm, 74kg,L,['남들과 다르게 코디하기 좋아서 추천해요 너무 좋아요 ㅎ'],,2,2,2,2,0,0,0,0
가나_다,2021.11.26,1618241,0,1, 175cm, 77kg,XL,['생각보다 두껍고 따뜻해요!! 그리고 편하고 목까지 원단이 있는게 너무 예뻐요!!!'],,1,3,2,1,0,0,0,0
pqlamz,2021.11.24,1618241,0,1, 150cm, 50kg,M,['너무 귀여워용 어깨라인도 각 안져서 안부해보여요! 근데 주머니 지퍼 진짜 아파서 그냥 자를까 생각중'],,1,1,2,1,0,0,0,0
김kong,2021.11.20,1618241,1,0, 176cm, 60kg,L,"['가격값은 하는 제품 같습니다!!', <br/>, '굳이 단점을 뽑자면 지퍼가 조금 아픕니다']",,2,2,2,2,0,0,0,0
*^___________^*,2021.11.15,1618241,0,1, 158cm, 53kg,S,"['저한테는 길고 큰데 편하게 잘 입을것 같아요! ', <br/>, '안에 많이 껴입을 수 있어서 좋고 색도 맘에 들어요!']",,1,2,1,1,0,0,0,0
뉴비_061c5b48,2021.11.08,1618241,0,1, 157cm, 45kg,S,['올해 나온것보다는 털이 조금 까슬하긴 한데 품도 넉넉하고 가벼워서 편합니당'],,1,2,2,2,0,0,0,0
박agada,2021.03.16,1618241,0,1, 153cm, 53kg,M,['남자옷이였군요 몰랐네요 ㅎㅎ;; 어쩐지 팔이 넘 길다 했어요 이거 입고 노트북 치기 넘 불편해여'],,1,2,1,1,0,0,0,0
아가 손인욱,2021.02.12,1618241,0,1, 161cm, 54kg,L,"['평소에도 크게 입기 때무네 라지로 갔는데여, 사이즈 매우 만족임다. 약간 내부가 무스탕..? 같은 재질로 되어있는데 이거 진짜 개따뜻해여. 한 겨울에도 안에 껴입으면 진짜 더워여. 가성비 죠아여.']",,1,2,1,1,0,0,0,0
훙냠냠,2020.12.04,1618241,0,1, 164cm, 55kg,M,"['세일 때 사서 싸게 잘샀어요 !!! S사이즈가 품절이여서 M 사긴했지만 ,, 조금 크네요..! 아쉬운 점은 주머니 지퍼를 왜 금속으로 한건지... 지퍼 빼고 다 맘에 듭니다!']",,1,2,2,2,0,0,0,0
가나_다,2021.11.26,1618241,0,1, 175cm, 77kg,XL,"['팔이 엄청엄청 커요 슈퍼스트롱 파워짱짱맨이 된 것 같아요', <br/>, '그치만 오버핏 맛에 입는답니당']",https://image.msscdn.net/data/estimate/1618241_0/gallery_61a0505f06375.jpg.view,1,3,2,1,0,0,0,0
김kong,2021.11.20,1618241,1,0, 176cm, 60kg,L,"['가격값은 하는 제품입니다!', <br/>, '굳이 단점을 꼽자면 지퍼가 조금 아파요']",https://image.msscdn.net/data/estimate/1618241_0/gallery_61990c7c113cb.jpg.view,2,2,2,2,0,0,0,0
박agada,2021.03.16,1618241,0,1, 153cm, 53kg,M,['와웅 팔 부분이 엄청 허버허버하게 크네요 주머니 자크는 후기대로 아파요 쫌 많이; 색상은 카키빛 도는 브라운이에요 색상만 맘에 드네요 원래 라지 시켰다가 너무 커서 엠으로 교홚ㅐㅆ어요'],https://image.msscdn.net/data/estimate/1618241_0/gallery_605097cb560e7.jpg.view,1,2,1,1,0,0,0,0
