userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
상도시장호랑이,2021.12.04,1749104,1,0, 183cm, 73kg,31,"['허리에 맞춰사니까 잘 맞네요', <br/>, '기장은 좀 길고 그레이는 와이드입니다']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61ab37f712092.jpg.view,1,1,2,1,3,0,0,0,0
rlarod_,2021.12.02,1749104,1,0, 186cm, 75kg,34,['골반이랑 허벅지가 좀 있어서 맘먹고 크게 갔는데 너무 크게 갔습니다.. 옷은 이뻐요 가성비 최고'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61a89a123d809.jpg.view,1,1,2,1,2,0,0,0,0
뉴비_d4350efe,2021.12.02,1749104,1,0, 179cm, 70kg,29,['옷감 핏 다 만족스러운데 허리 밴딩 믿고 정싸이느 구매했는데 생각보다 좀 끼네요..?0'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61a873b6977d3.jpg.view,1,3,2,2,2,0,0,0,0
상원62,2021.12.02,1749104,1,0, 167cm, 58kg,26,"['핏 진짜 예쁘게 나와요 툭 떨어지고! ', <br/>, '평소 30입다가 실측 보고 26으로 샀는데 밴딩 없었으면 못 입었어요..좀 불편하다가 두세번 입고나니 텐션이 좀 줄어들어서 편하네용 얇아서 하늘하늘핏은 좋지만 겨울에는 못입는다는점!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61a7adcf2e7f8.jpg.view,1,2,2,3,3,0,0,0,0
민재재12,2021.12.01,1749104,1,0, 172cm, 73kg,29,['진짜진짜 와이드하고 색감은 이쁜데 좀 작아요허리가'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61a78b39caeb5.jpg.view,1,2,2,2,2,0,0,0,0
성뀨?!,2021.11.30,1749104,1,0, 178cm, 68kg,30,['슈퍼 와이드답게 진짜 슈퍼 와이드합니다. 처음 이런 핏 사봤는데 이거 입고 난 뒤로 일반 와이드 팬츠도 통이 좁아보이는 매직을 경험하실 수 있으실 겁니다. 그치만 너무 만족스러워요.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61a5ca27a9768.jpg.view,1,1,3,1,2,0,0,0,0
시시식ㄱ,2021.11.28,1749104,0,1, 166cm, 56kg,27,['오버핏 슬랙스 중 단연 최고..너무 예뻐요 어디에 입어도'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61a30df768c6a.jpg.view,1,1,2,2,2,0,0,0,0
후니1213,2021.11.27,1749104,1,0, 175cm, 73kg,31,"['핏이 좋아서 여러 색상 구매', <br/>, '32사이즈에서 히든밴딩이라', <br/>, '31로 한사이즈 다운 했는데도 잘 맞아요', <br/>, '와이드하고 편안합니다']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61a22f48bf5dc.jpg.view,1,2,2,2,2,0,0,0,0
Cuise,2021.11.27,1749104,1,0, 179cm, 75kg,30,"['슈퍼와이드는 처음 시도하는 것이라서 무서웠는데 바닥에 끌리지도 않고, 핏도 너무 마음에 들었습니다.']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61a1f5ef77ff4.jpg.view,1,2,2,2,2,0,0,0,0
뉴비_79f94d5c29ba,2021.11.26,1749104,1,0, 180cm, 73kg,30,['맨투맨과 니트 셔츠 어디에 매치해도 이쁘구 너무 편해요.. 다른 색으로 또 구매 하고 싶습니다!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_619fa92294ad8.jpg.view,1,1,3,1,2,0,0,0,0
