userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
함냐함냐함나,2021.03.18,575461,0,1, 172cm, 56kg,FREE,['하늘하늘거리고 예뻐요 근데 팔이 엄청 길어요 고정되지 않아서 밥먹을때 좀 힘들어요'],,0,2,3,2,3,0,0,0,0
ㄱㅂㅁ49,2020.07.04,967467,1,0, 174cm, 70kg,로얄블루/L,"['생각보다 사이즈가 정핏이라 사이즈 교환을 했습니다. 평소 옷을 살때보다 한 치수 크게 주문하니까 살짝 루즈하게 잘 맞습니다. 색감은 생각보다 더 예쁘고, 옷 자체의 감촉이 잘 느껴져서 좋네요. 부드러운 옷 좋아하시는 분들은 살짝 마음에 안드실 수도 있겠네요. 아, 빨래 후에 수축이나 옷감손상은 없는 것 같아요. 개인적으로 입어봤던 무지티들 중에서는 최고라고 생각합니다.']",https://image.msscdn.net/data/estimate/967467_0/gallery_5eff52cac761e.jpg.view,1,2,1,1,2,0,0,0,0
패션은플로우,2021.08.01,967467,1,0, 180cm, 87kg,로얄블루/XL,['길이도 마음에 들고 색상도 밝아서 좋네요 마감도 좋아요'],,0,2,1,1,2,0,0,0,0
다이아몬드레이,2022.03.13,2343911,1,0, 170cm, 60kg,후드-오트밀그레이/M오트밀그레이/S,['사이즈가 잘 맞아서 너무 좋았습니다. 편하게 입기 좋아서 구매하기 잘한거같아요'],https://image.msscdn.net/data/estimate/2343911_0/gallery_622c5a8138250.jpg.view,1,2,1,2,2,0,0,0,0
라라라랄랄라,2022.03.11,2343911,0,1, 166cm, 85kg,후드-오트밀그레이/XL오트밀그레이/XL,['뚱뚱한 편인데 아주 편안하게 잘맞아요 쭈리 부분도 튼튼하고 기모가 아니라서 딱 요즘 입기 좋습니다 편하게 자주 입을 듯요'],https://image.msscdn.net/data/estimate/2343911_0/gallery_6229b857d6870.jpg.view,1,2,2,2,2,0,0,0,0
14맜있게,2022.03.03,2343911,1,0, 178cm, 65kg,후드-오트밀그레이/L오트밀그레이/L,"['무난하게 하얀색으로 사길 잘한거같아요', <br/>, '봄 가을에 입으면 딱이겠네요']",https://image.msscdn.net/data/estimate/2343911_0/gallery_621f20589c0c3.jpg.view,1,2,1,2,2,0,0,0,0
뉴비_d0f32f1c41c7,2022.02.25,2343911,1,0, 169cm, 54kg,후드-블랙/M블랙/M,"['배송 엄청 빨라요.', <br/>, '옷 이쁘고 좋아요', <br/>, '루즈핏이에요', <br/>, '조금 많이 크네요']",https://image.msscdn.net/data/estimate/2343911_0/gallery_62174de39130b.jpg.view,1,1,2,2,1,0,0,0,0
네바네바,2022.02.21,2343911,0,1, 165cm, 56kg,맨투맨-블랙/M블랙/S,"['아이가 맘에 들어합니다', <br/>, '예뻐요', <br/>, '배송도 만족스러워요']",https://image.msscdn.net/data/estimate/2343911_0/gallery_62124b7d7160f.jpg.view,1,2,2,2,2,0,0,0,0
14맜있게,2022.03.03,2343911,1,0, 178cm, 65kg,후드-오트밀그레이/L오트밀그레이/L,"['무난하게 하얀색으로 사길 잘한거같아요', <br/>, '봄 가을에 입으면 딱일듯합니다.', <br/>, '유행도 별로안타는거라 오래입을듯합니다']",,0,2,1,2,2,0,0,0,0
뉴비_4caac999,2022.03.03,2343911,0,1, 162cm, 52kg,후드-네이비/M블랙/M,['바지 기장도 딱 맞고 후드티 디자인도 예뻐서 좋네요~'],,0,2,2,2,2,0,0,0,0
